datetime,temp,feelslike,humidity,precip,precipprob,windspeed,cloudcover,visibility,uvindex
2024-08-01 00:00:00,82.0,88.7,80.0,0.0,0,2.0,27.5,6.2,0
2024-08-01 01:00:00,82.0,88.7,80.0,0.0,0,1.1,27.5,6.2,0
2024-08-01 02:00:00,81.7,87.3,76.89,0.0,0,2.0,57.3,6.2,0
2024-08-01 03:00:00,80.4,85.1,79.88,0.0,0,1.4,27.5,6.2,0
2024-08-01 04:00:00,80.4,85.1,79.88,0.0,0,2.2,27.5,6.2,0
2024-08-01 05:00:00,78.5,78.5,84.74,0.0,0,2.1,25.0,6.1,0
2024-08-01 06:00:00,78.8,78.8,84.16,0.0,0,1.4,27.5,6.1,0
2024-08-01 07:00:00,78.8,78.8,84.16,0.0,0,2.2,27.5,6.2,0
2024-08-01 08:00:00,78.9,78.9,84.64,0.026,100,0.3,57.3,6.5,0
2024-08-01 09:00:00,82.4,88.5,75.35,0.0,0,3.5,27.5,6.2,2
2024-08-01 10:00:00,87.6,96.0,63.8,0.0,0,4.8,27.5,6.2,4
2024-08-01 11:00:00,89.5,96.7,56.59,0.0,0,7.8,57.3,6.8,6
2024-08-01 12:00:00,91.2,99.2,54.38,0.0,0,8.5,27.5,6.2,8
2024-08-01 13:00:00,93.0,101.1,50.69,0.0,0,10.8,27.5,6.2,8
2024-08-01 14:00:00,94.3,101.4,46.48,0.0,0,9.8,57.3,6.8,8
2024-08-01 15:00:00,93.0,101.3,51.05,0.0,0,8.8,27.5,6.2,8
2024-08-01 16:00:00,94.6,105.1,51.28,0.0,0,11.9,27.5,6.2,6
2024-08-01 17:00:00,93.0,102.9,53.49,0.0,0,11.9,57.3,6.8,5
2024-08-01 18:00:00,91.2,99.0,54.0,0.0,0,12.8,27.5,6.2,3
2024-08-01 19:00:00,89.4,98.4,60.28,0.0,0,9.4,27.5,6.2,1
2024-08-01 20:00:00,87.5,96.0,64.47,0.0,0,6.5,57.3,6.2,0
2024-08-01 21:00:00,87.4,94.2,60.88,0.0,0,5.7,27.5,6.2,0
2024-08-01 22:00:00,85.6,94.8,71.74,0.0,0,0.4,27.5,6.2,0
2024-08-01 23:00:00,85.3,93.1,69.26,0.0,0,4.2,57.3,6.2,0
2024-08-02 00:00:00,84.0,92.3,75.49,0.0,0,2.2,27.5,6.2,0
2024-08-02 01:00:00,83.8,92.0,76.0,0.0,0,2.0,27.5,6.2,0
2024-08-02 02:00:00,82.0,88.9,80.61,0.0,0,0.0,57.3,6.2,0
2024-08-02 03:00:00,82.0,88.9,80.56,0.0,0,0.1,27.5,6.1,0
2024-08-02 04:00:00,82.0,88.9,80.56,0.0,0,0.1,27.5,6.1,0
2024-08-02 05:00:00,80.5,86.0,84.26,0.0,0,0.1,57.3,6.1,0
2024-08-02 06:00:00,80.4,85.8,84.25,0.0,0,0.3,27.5,6.2,0
2024-08-02 07:00:00,80.6,86.2,83.68,0.0,0,0.4,27.5,6.2,0
2024-08-02 08:00:00,80.5,86.5,87.13,0.0,0,0.8,57.3,6.2,0
2024-08-02 09:00:00,85.4,94.3,71.72,0.0,0,5.8,27.5,6.2,2
2024-08-02 10:00:00,87.4,97.4,67.74,0.0,0,9.5,27.5,6.2,4
2024-08-02 11:00:00,89.3,98.4,60.41,0.0,0,7.9,57.3,6.5,6
2024-08-02 12:00:00,91.2,100.5,56.57,0.0,0,8.5,27.5,6.2,8
2024-08-02 13:00:00,93.0,102.8,53.48,0.0,0,9.5,30.1,6.2,9
2024-08-02 14:00:00,94.3,104.5,51.42,0.0,0,4.8,58.7,6.8,9
2024-08-02 15:00:00,94.8,103.3,47.95,0.0,0,8.7,30.1,6.2,7
2024-08-02 16:00:00,93.0,102.8,53.48,0.0,0,4.7,30.1,6.2,5
2024-08-02 17:00:00,87.9,99.9,69.81,0.0,0,5.8,58.7,5.6,4
2024-08-02 18:00:00,87.8,94.8,60.08,0.0,0,4.5,30.1,6.1,2
2024-08-02 19:00:00,86.0,93.8,67.12,0.0,0,4.5,30.1,6.1,1
2024-08-02 20:00:00,84.4,91.7,70.64,0.0,0,2.1,58.7,6.1,0
2024-08-02 21:00:00,84.2,92.6,74.99,0.0,0,0.1,30.1,6.1,0
2024-08-02 22:00:00,84.2,92.6,74.99,0.0,0,3.4,30.1,6.1,0
2024-08-02 23:00:00,84.0,92.3,75.69,0.0,0,1.2,57.3,6.1,0
2024-08-03 00:00:00,84.0,92.3,75.49,0.0,0,0.1,30.1,6.1,0
2024-08-03 01:00:00,82.2,89.1,79.46,0.0,0,0.3,27.5,6.1,0
2024-08-03 02:00:00,81.8,88.3,79.57,0.0,0,1.0,57.3,6.1,0
2024-08-03 03:00:00,80.4,85.8,84.25,0.0,0,0.0,27.5,6.1,0
2024-08-03 04:00:00,80.2,85.3,84.83,0.0,0,0.3,27.5,6.1,0
2024-08-03 05:00:00,80.3,85.5,84.25,0.0,0,0.3,25.0,6.1,0
2024-08-03 06:00:00,80.4,85.8,84.25,0.0,0,0.0,27.5,6.1,0
2024-08-03 07:00:00,80.4,85.8,84.25,0.0,0,3.2,27.5,6.2,0
2024-08-03 08:00:00,80.2,85.3,84.13,0.0,0,2.0,57.3,5.1,0
2024-08-03 09:00:00,84.0,92.1,74.97,0.0,0,0.4,27.5,6.2,2
2024-08-03 10:00:00,87.6,96.0,63.8,0.0,0,7.8,27.5,6.2,4
2024-08-03 11:00:00,90.9,99.9,56.92,0.0,0,8.8,57.3,6.2,6
2024-08-03 12:00:00,91.2,100.7,56.97,0.0,0,10.6,30.1,6.2,7
2024-08-03 13:00:00,91.2,100.7,56.97,0.0,0,10.9,30.1,6.2,7
2024-08-03 14:00:00,92.0,103.4,58.23,0.0,0,12.1,58.7,6.1,7
2024-08-03 15:00:00,87.4,95.9,64.68,0.0,0,13.1,30.1,6.1,6
2024-08-03 16:00:00,80.1,85.9,90.43,0.0,0,12.2,27.5,6.2,5
2024-08-03 17:00:00,79.9,79.9,91.05,0.0,0,6.8,57.3,6.2,3
2024-08-03 18:00:00,81.4,89.1,87.05,0.0,0,2.5,27.5,6.2,2
2024-08-03 19:00:00,81.2,87.5,82.56,0.0,0,3.5,27.5,6.2,1
2024-08-03 20:00:00,80.5,86.7,88.05,0.139,100,1.2,57.3,6.2,0
2024-08-03 21:00:00,80.8,87.6,88.23,0.0,0,0.1,27.5,5.7,0
2024-08-03 22:00:00,80.6,87.1,88.84,0.0,0,7.2,27.5,6.2,0
2024-08-03 23:00:00,79.4,79.4,91.42,0.0,0,6.1,57.3,6.2,0
2024-08-04 00:00:00,79.2,79.2,88.16,0.0,0,3.2,27.5,6.2,0
2024-08-04 01:00:00,79.0,79.0,88.77,0.0,0,4.2,27.5,5.1,0
2024-08-04 02:00:00,78.7,78.7,89.87,0.0,0,2.4,57.3,5.7,0
2024-08-04 03:00:00,78.8,78.8,88.76,0.0,0,4.5,27.5,5.7,0
2024-08-04 04:00:00,78.7,78.7,88.76,0.0,0,0.9,25.5,5.7,0
2024-08-04 05:00:00,80.3,85.5,84.25,0.0,0,7.1,25.0,6.1,0
2024-08-04 06:00:00,80.4,85.9,84.84,0.0,0,4.2,27.5,6.1,0
2024-08-04 07:00:00,80.4,85.8,84.25,0.0,0,4.3,30.1,6.1,0
2024-08-04 08:00:00,79.7,79.7,86.44,0.187,100,2.7,58.7,5.6,0
2024-08-04 09:00:00,80.2,85.3,84.83,0.0,0,5.4,30.1,5.9,1
2024-08-04 10:00:00,77.0,77.0,94.85,0.0,0,4.2,30.1,6.0,3
2024-08-04 11:00:00,79.2,79.2,88.78,0.0,0,6.5,61.7,6.1,5
2024-08-04 12:00:00,82.4,89.6,79.47,0.0,0,7.5,27.5,6.2,6
2024-08-04 13:00:00,84.2,92.5,74.47,0.0,0,4.2,30.1,6.2,5
2024-08-04 14:00:00,82.9,91.7,82.02,0.0,0,5.5,58.7,6.2,6
2024-08-04 15:00:00,78.3,78.3,86.28,0.0,0,7.5,30.1,6.1,5
2024-08-04 16:00:00,79.8,79.8,86.36,0.0,0,5.7,30.1,6.2,5
2024-08-04 17:00:00,82.7,89.9,77.85,0.0,0,6.8,57.3,6.2,3
2024-08-04 18:00:00,84.4,93.0,74.48,0.0,0,5.5,27.5,6.2,2
2024-08-04 19:00:00,82.8,89.2,74.34,0.0,0,5.4,27.5,6.2,1
2024-08-04 20:00:00,80.8,86.0,79.62,0.0,0,1.0,57.3,6.2,0
2024-08-04 21:00:00,79.2,79.2,88.16,0.0,0,1.1,27.5,6.2,0
2024-08-04 22:00:00,79.0,79.0,88.77,0.0,0,0.3,27.5,6.2,0
2024-08-04 23:00:00,79.1,79.1,88.16,0.0,0,0.0,57.3,6.2,0
2024-08-05 00:00:00,79.0,79.0,88.15,0.0,0,0.4,27.5,6.2,0
2024-08-05 01:00:00,79.0,79.0,88.15,0.0,0,0.3,27.5,6.2,0
2024-08-05 02:00:00,77.6,77.6,92.33,0.0,0,0.4,57.3,6.2,0
2024-08-05 03:00:00,77.2,77.2,93.54,0.0,0,0.3,27.5,6.2,0
2024-08-05 04:00:00,77.2,77.2,88.69,0.0,0,1.2,27.5,6.2,0
2024-08-05 05:00:00,77.0,77.0,92.96,0.0,0,0.3,57.3,6.1,0
2024-08-05 06:00:00,77.0,77.0,89.31,0.0,0,2.0,27.5,6.1,0
2024-08-05 07:00:00,77.0,77.0,89.31,0.0,0,3.2,27.5,6.1,0
2024-08-05 08:00:00,77.2,77.2,88.84,0.405,100,3.2,57.3,6.1,0
2024-08-05 09:00:00,80.6,85.5,79.9,0.0,0,4.2,30.1,5.9,2
2024-08-05 10:00:00,84.0,92.5,76.02,0.0,0,1.2,27.5,6.2,4
2024-08-05 11:00:00,87.2,97.0,67.72,0.0,0,6.4,58.7,6.5,6
2024-08-05 12:00:00,89.4,100.2,63.57,0.0,0,4.5,30.1,6.2,7
2024-08-05 13:00:00,91.2,102.7,60.08,0.0,0,6.7,30.1,6.2,7
2024-08-05 14:00:00,89.3,100.1,63.78,0.0,0,11.9,58.7,6.8,6
2024-08-05 15:00:00,89.8,100.5,62.3,0.0,0,7.8,27.5,6.2,5
2024-08-05 16:00:00,86.2,95.5,69.83,0.0,0,10.5,27.5,6.2,4
2024-08-05 17:00:00,82.4,90.7,83.43,0.0,0,4.4,57.3,5.7,2
2024-08-05 18:00:00,81.0,88.0,87.63,0.0,0,2.4,27.5,6.2,1
2024-08-05 19:00:00,81.0,87.1,83.12,0.0,0,2.4,27.5,6.2,0
2024-08-05 20:00:00,80.9,86.9,83.55,0.07,100,2.2,57.3,6.2,0
2024-08-05 21:00:00,80.8,86.7,83.69,0.0,0,0.4,27.5,6.2,0
2024-08-05 22:00:00,80.8,86.7,83.69,0.0,0,0.3,27.5,6.2,0
2024-08-05 23:00:00,80.8,86.6,83.97,0.0,0,0.3,57.3,6.2,0
2024-08-06 00:00:00,80.8,86.7,83.69,0.0,0,2.2,27.5,6.2,0
2024-08-06 01:00:00,79.0,79.0,88.77,0.0,0,0.3,27.5,6.2,0
2024-08-06 02:00:00,78.6,78.6,90.09,0.0,0,0.1,57.3,6.2,0
2024-08-06 03:00:00,78.8,78.8,88.76,0.0,0,0.0,27.5,6.1,0
2024-08-06 04:00:00,77.2,77.2,93.54,0.0,0,0.0,27.5,6.1,0
2024-08-06 05:00:00,77.2,77.2,93.03,0.0,0,0.0,57.3,6.1,0
2024-08-06 06:00:00,77.2,77.2,93.54,0.0,0,1.1,27.5,6.1,0
2024-08-06 07:00:00,77.2,77.2,88.69,0.0,0,8.5,27.5,6.1,0
2024-08-06 08:00:00,75.5,75.5,93.59,0.011,100,4.8,61.7,6.1,0
2024-08-06 09:00:00,75.4,75.4,92.84,0.0,0,3.5,27.5,6.2,2
2024-08-06 10:00:00,79.0,79.0,82.99,0.0,0,1.4,27.5,6.2,4
2024-08-06 11:00:00,82.5,89.2,77.42,0.0,0,2.2,57.3,6.8,5
2024-08-06 12:00:00,86.2,93.9,66.2,0.0,0,2.4,27.5,6.2,6
2024-08-06 13:00:00,88.0,96.4,62.52,0.0,0,2.4,30.1,6.2,8
2024-08-06 14:00:00,90.9,98.3,53.89,0.0,0,4.5,58.7,6.8,8
2024-08-06 15:00:00,91.4,98.9,52.89,0.0,0,5.7,30.1,6.2,7
2024-08-06 16:00:00,91.2,100.3,56.17,0.0,0,9.8,27.5,6.2,7
2024-08-06 17:00:00,86.1,96.3,72.09,0.0,0,7.5,57.3,6.5,5
2024-08-06 18:00:00,86.2,95.1,68.86,0.0,0,4.7,27.5,6.2,3
2024-08-06 19:00:00,86.0,96.9,74.11,0.0,0,2.2,27.5,6.2,1
2024-08-06 20:00:00,85.3,95.4,75.06,0.0,0,0.1,57.3,6.2,0
2024-08-06 21:00:00,84.0,93.8,79.59,0.0,0,2.0,27.5,6.2,0
2024-08-06 22:00:00,83.8,92.0,76.0,0.0,0,2.2,27.5,6.2,0
2024-08-06 23:00:00,82.4,90.4,82.13,0.0,0,2.1,57.3,6.2,0
2024-08-07 00:00:00,82.2,90.3,83.77,0.0,0,3.4,27.5,6.2,0
2024-08-07 01:00:00,82.2,90.3,83.77,0.0,0,3.1,27.5,6.2,0
2024-08-07 02:00:00,81.8,88.4,80.89,0.0,0,4.2,57.3,6.2,0
2024-08-07 03:00:00,80.4,85.8,84.25,0.0,0,3.1,27.5,6.2,0
2024-08-07 04:00:00,78.8,78.8,88.76,0.0,0,0.4,27.5,6.2,0
2024-08-07 05:00:00,78.8,78.8,88.99,0.0,0,0.4,57.3,6.2,0
2024-08-07 06:00:00,78.8,78.8,88.14,0.0,0,1.5,27.5,6.2,0
2024-08-07 07:00:00,78.8,78.8,88.76,0.0,0,1.2,27.5,6.2,0
2024-08-07 08:00:00,78.4,78.4,89.45,0.035,100,0.1,57.3,6.1,0
2024-08-07 09:00:00,80.6,86.2,83.68,0.0,0,0.0,27.5,6.1,2
2024-08-07 10:00:00,84.2,92.6,74.99,0.0,0,2.2,27.5,6.1,2
2024-08-07 11:00:00,89.0,99.4,64.07,0.0,0,3.4,57.3,6.1,3
2024-08-07 12:00:00,84.4,93.0,74.48,0.0,0,3.4,50.0,5.6,3
2024-08-07 13:00:00,80.4,86.6,89.45,0.0,0,8.8,30.1,5.3,2
2024-08-07 14:00:00,79.2,79.2,93.13,0.0,0,7.5,63.1,5.0,3
2024-08-07 15:00:00,77.4,77.4,93.55,0.0,0,3.2,30.1,5.0,4
2024-08-07 16:00:00,79.0,79.0,88.77,0.0,0,3.0,30.1,5.6,3
2024-08-07 17:00:00,79.0,79.0,92.58,0.0,0,3.4,58.7,6.1,3
2024-08-07 18:00:00,79.0,79.0,93.59,0.0,0,2.4,27.5,6.1,2
2024-08-07 19:00:00,79.0,79.0,88.77,0.0,0,2.4,27.5,6.1,1
2024-08-07 20:00:00,78.7,78.7,89.85,0.487,100,2.2,57.3,6.1,0
2024-08-07 21:00:00,79.0,79.0,88.77,0.0,0,1.2,27.5,6.1,0
2024-08-07 22:00:00,79.0,79.0,88.15,0.0,0,1.2,27.5,6.1,0
2024-08-07 23:00:00,78.7,78.7,89.93,0.0,0,0.3,57.3,5.0,0
2024-08-08 00:00:00,78.8,78.8,89.38,0.0,0,0.4,27.5,5.6,0
2024-08-08 01:00:00,78.8,78.8,89.38,0.0,0,0.3,27.5,5.6,0
2024-08-08 02:00:00,77.2,77.2,93.92,0.0,0,0.0,57.3,5.0,0
2024-08-08 03:00:00,77.2,77.2,94.2,0.0,0,0.3,27.5,4.4,0
2024-08-08 04:00:00,77.0,77.0,94.85,0.0,0,0.0,27.5,4.4,0
2024-08-08 05:00:00,77.1,77.1,93.88,0.0,0,2.1,57.3,4.9,0
2024-08-08 06:00:00,77.0,77.0,94.85,0.0,0,0.0,27.5,5.4,0
2024-08-08 07:00:00,77.2,77.2,94.2,0.0,0,0.0,27.5,6.1,0
2024-08-08 08:00:00,77.5,77.5,92.29,0.0,0,0.3,57.3,6.1,0
2024-08-08 09:00:00,79.0,79.0,88.15,0.0,0,0.4,27.5,6.1,1
2024-08-08 10:00:00,82.2,89.3,80.01,0.0,0,3.2,27.5,6.1,2
2024-08-08 11:00:00,84.3,92.8,74.88,0.0,0,7.5,57.3,6.1,3
2024-08-08 12:00:00,86.0,95.4,70.79,0.0,0,6.8,27.5,6.1,4
2024-08-08 13:00:00,87.6,96.0,63.8,0.0,0,6.9,27.5,6.2,4
2024-08-08 14:00:00,88.0,94.6,58.63,0.0,0,6.9,57.3,6.2,6
2024-08-08 15:00:00,88.0,95.0,59.68,0.0,0,7.8,30.1,6.2,7
2024-08-08 16:00:00,91.2,100.7,56.97,0.0,0,6.7,27.5,6.2,6
2024-08-08 17:00:00,91.1,100.4,56.68,0.0,0,5.7,57.3,6.2,4
2024-08-08 18:00:00,89.4,102.0,66.56,0.0,0,6.8,27.5,6.2,2
2024-08-08 19:00:00,87.6,97.5,66.82,0.0,0,6.5,27.5,6.2,1
2024-08-08 20:00:00,85.7,95.2,71.82,0.0,0,4.5,57.3,6.2,0
2024-08-08 21:00:00,84.0,92.3,75.49,0.0,0,3.4,27.5,6.2,0
2024-08-08 22:00:00,84.0,92.1,74.97,0.0,0,3.5,27.5,6.2,0
2024-08-08 23:00:00,83.9,92.1,75.9,0.0,0,3.4,57.3,6.2,0
2024-08-09 00:00:00,84.0,92.3,75.49,0.0,0,3.2,27.5,6.2,0
2024-08-09 01:00:00,84.0,93.8,79.59,0.0,0,0.0,27.5,6.2,0
2024-08-09 02:00:00,82.4,90.8,84.12,0.0,0,1.1,57.3,6.2,0
2024-08-09 03:00:00,82.2,90.4,84.36,0.0,0,2.0,27.5,6.2,0
2024-08-09 04:00:00,80.8,87.6,88.23,0.0,0,1.5,27.5,6.2,0
2024-08-09 05:00:00,80.6,87.2,88.67,0.0,0,0.1,57.3,6.2,0
2024-08-09 06:00:00,80.6,87.1,88.84,0.0,0,0.3,27.5,6.2,0
2024-08-09 07:00:00,80.4,86.6,89.45,0.0,0,0.4,27.5,6.1,0
2024-08-09 08:00:00,80.2,86.3,90.02,0.0,0,0.3,57.3,6.1,0
2024-08-09 09:00:00,83.8,93.4,80.13,0.0,0,3.0,27.5,6.2,2
2024-08-09 10:00:00,87.0,95.2,65.09,0.0,0,8.8,30.1,6.1,3
2024-08-09 11:00:00,86.1,96.8,73.61,0.0,0,10.8,57.3,6.7,5
2024-08-09 12:00:00,86.2,95.5,69.83,0.0,0,8.9,30.1,6.2,6
2024-08-09 13:00:00,89.6,100.8,63.6,0.0,0,7.7,30.1,6.2,5
2024-08-09 14:00:00,90.8,100.5,58.11,0.001,100,8.8,58.7,6.7,7
2024-08-09 15:00:00,81.2,88.5,87.04,0.0,0,9.8,50.0,3.9,6
2024-08-09 16:00:00,84.4,94.7,79.07,0.0,0,9.8,30.1,6.1,4
2024-08-09 17:00:00,86.3,98.2,74.81,0.0,0,12.8,57.3,6.2,2
2024-08-09 18:00:00,85.8,97.1,75.65,0.0,0,10.6,30.1,6.1,3
2024-08-09 19:00:00,84.0,93.8,79.59,0.0,0,6.5,27.5,6.2,1
2024-08-09 20:00:00,83.4,92.9,81.18,0.0,0,5.5,57.3,6.2,0
2024-08-09 21:00:00,82.2,89.3,80.01,0.0,0,4.5,27.5,6.2,0
2024-08-09 22:00:00,82.2,89.3,80.01,0.0,0,5.5,27.5,6.2,0
2024-08-09 23:00:00,81.9,89.4,83.62,0.0,0,3.4,57.3,6.2,0
2024-08-10 00:00:00,82.2,89.3,80.01,0.0,0,3.4,27.5,6.2,0
2024-08-10 01:00:00,80.4,86.5,88.83,0.0,0,2.4,27.5,6.2,0
2024-08-10 02:00:00,78.9,78.9,92.46,0.0,0,0.3,57.3,6.2,0
2024-08-10 03:00:00,78.8,78.8,88.76,0.0,0,0.0,27.5,6.1,0
2024-08-10 04:00:00,78.6,78.6,89.37,0.0,0,2.1,27.5,6.1,0
2024-08-10 05:00:00,78.3,78.3,90.31,0.0,0,0.0,57.3,6.1,0
2024-08-10 06:00:00,78.6,78.6,89.37,0.0,0,0.0,27.5,6.1,0
2024-08-10 07:00:00,77.0,77.0,94.19,0.0,0,0.3,27.5,6.1,0
2024-08-10 08:00:00,78.6,78.6,89.44,0.0,0,0.1,57.3,6.1,0
2024-08-10 09:00:00,82.4,90.7,83.21,0.0,0,0.4,27.5,6.2,2
2024-08-10 10:00:00,86.0,95.2,70.29,0.0,0,2.5,27.5,6.2,4
2024-08-10 11:00:00,88.0,97.7,65.37,0.0,0,5.7,58.7,6.8,6
2024-08-10 12:00:00,89.4,98.4,60.28,0.0,0,8.7,30.1,6.2,7
2024-08-10 13:00:00,91.0,102.4,60.48,0.0,0,7.8,30.1,6.2,6
2024-08-10 14:00:00,91.5,104.7,61.8,0.0,0,6.7,58.7,6.7,8
2024-08-10 15:00:00,92.2,104.2,58.71,0.0,0,6.4,30.1,6.1,6
2024-08-10 16:00:00,84.4,96.5,83.33,0.0,0,3.4,27.5,6.2,5
2024-08-10 17:00:00,87.8,98.3,67.26,0.0,0,6.7,57.3,6.2,5
2024-08-10 18:00:00,87.8,97.8,66.38,0.0,0,4.5,27.5,6.2,3
2024-08-10 19:00:00,84.4,94.5,78.53,0.0,0,4.4,27.5,6.2,1
2024-08-10 20:00:00,82.4,90.7,83.32,0.035,100,5.4,57.3,6.2,0
2024-08-10 21:00:00,80.8,86.7,83.69,0.0,0,5.5,27.5,6.2,0
2024-08-10 22:00:00,80.8,86.7,83.69,0.0,0,1.4,27.5,6.2,0
2024-08-10 23:00:00,80.7,87.1,87.43,0.0,0,0.1,57.3,6.2,0
2024-08-11 00:00:00,80.6,87.1,88.84,0.0,0,4.2,27.5,6.2,0
2024-08-11 01:00:00,80.6,87.1,88.84,0.0,0,2.0,27.5,6.2,0
2024-08-11 02:00:00,80.3,86.3,89.38,0.0,0,0.0,57.3,6.2,0
2024-08-11 03:00:00,80.6,87.0,88.22,0.0,0,4.5,27.5,6.2,0
2024-08-11 04:00:00,80.4,85.7,83.66,0.0,0,0.3,27.5,6.2,0
2024-08-11 05:00:00,80.0,85.0,85.27,0.0,0,0.0,57.3,6.2,0
